student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies_flat,devices_type,devices_brand,devices_year,skills_soft,skills_tech.python,skills_tech.excel,skills_tech.sql,family_siblings,family_income.father,family_income.mother,address_city,address_district,address_postal_code
1,Claudia Short,20,Unknown,,+1-619-379-4152,Katieland,Incorrect email format,2022-09-03 23:22:44,Data science,,active,3.72,good,135.0,2021-08-18 18:53:50,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","gun, nice",laptop,HP,2021.0,"['with', 'onto']",2.0,5.0,1.0,4.0,1198.0,1089.0,Tashkent,South Kevin,100539
1,Claudia Short,20,Unknown,,+1-619-379-4152,Katieland,Incorrect email format,2022-09-03 23:22:44,Data science,,active,3.72,good,135.0,2021-08-18 18:53:50,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","gun, nice",phone,Xiaomi,2021.0,,,,,,,,Tashkent,South Kevin,100539
2,Unknown,20,Female,90,Unknown,Dawnburgh,psmith@chen.com,2017-08-29 00:00:00,Data science,,active,1.88,excellent,152.0,2001-11-10 04:19:00,UZ 100332 Tashkent South Patricia,,,,,"['despite', 'clearly']",5.0,3.0,1.0,1.0,263.0,202.0,Tashkent,South Patricia,100332
3,Kathryn Moyer,20,Unknown,90,Unknown,Lake Stevenmouth,Incorrect email format,2017-08-14 00:00:00,Data science,,pending,,excellent,185.0,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1, Tashkent","fast, clearly",laptop,HP,2020.0,"['full', 'series']",3.0,5.0,1.0,4.0,508.0,698.0,Tashkent,Wendyshire,
3,Kathryn Moyer,20,Unknown,90,Unknown,Lake Stevenmouth,Incorrect email format,2017-08-14 00:00:00,Data science,,pending,,excellent,185.0,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1, Tashkent","fast, clearly",phone,Samsung,2023.0,"['whose', 'save']",1.0,4.0,1.0,3.0,862.0,1058.0,Tashkent,Wendyshire,
4,Ruben Wilson,20,Female,81,Unknown,Port Pamelafort,Incorrect email format,1973-09-17 00:00:00,Other,,inactive,0.0,good,175.0,2023-04-29 19:05:30,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","left, role",laptop,Lenovo,2020.0,,,,,,,,Tashkent,North Tamara,100097
4,Ruben Wilson,20,Female,81,Unknown,Port Pamelafort,Incorrect email format,1973-09-17 00:00:00,Other,,inactive,0.0,good,175.0,2023-04-29 19:05:30,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","left, role",phone,Samsung,2024.0,"['teacher', 'good']",4.0,1.0,4.0,3.0,1270.0,931.0,Tashkent,North Tamara,100097
5,Robert Pruitt,20,Female,,+1-182-659-5631,Kingburgh,Incorrect email format,2023-11-25 00:00:00,Data science,,pending,4.37,average,282.0,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","sort, science",laptop,Lenovo,2023.0,,,,,,,,,,
5,Robert Pruitt,20,Female,,+1-182-659-5631,Kingburgh,Incorrect email format,2023-11-25 00:00:00,Data science,,pending,4.37,average,282.0,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","sort, science",phone,Apple,2022.0,"['partner', 'walk']",1.0,5.0,4.0,0.0,850.0,1062.0,,,
6,David Martinez,20,Male,90,+1-074-828-6016,Hugheshaven,nathangibbs@hotmail.com,2020-10-23 22:54:07,Data science,100,pending,,average,85.0,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551",,,,,"['beat', 'southern']",1.0,1.0,4.0,3.0,597.0,1150.0,Tashkent,North Jamesfurt,100551
7,Unknown,18,Female,71,+1-314-018-0928,Sharpfurt,Incorrect email format,1982-01-16 00:00:00,Data science,,active,0.0,excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","fall, teacher",laptop,HP,2018.0,,,,,,,,Tashkent,Lake Tracishire,
7,Unknown,18,Female,71,+1-314-018-0928,Sharpfurt,Incorrect email format,1982-01-16 00:00:00,Data science,,active,0.0,excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","fall, teacher",phone,Xiaomi,2023.0,,,,,,,,Tashkent,Lake Tracishire,
8,Nicholas Dennis,21,Female,90,+1-809-155-6011,Matthewfort,Incorrect email format,2000-06-26 00:00:00,Python,63,active,4.5,excellent,135.0,1978-09-23 00:00:00,"70576 Butler Harbor Suite 847, Janetberg",,,,,,,,,,,,Janetberg,,
9,Unknown,20,Female,77,+1-854-964-5423,South Paulchester,stacysmith@taylor.biz,2000-03-15 00:00:00,Data science,100,active,,excellent,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","require, open",laptop,Dell,2019.0,,,,,,,,Tashkent,Williamsborough,
9,Unknown,20,Female,77,+1-854-964-5423,South Paulchester,stacysmith@taylor.biz,2000-03-15 00:00:00,Data science,100,active,,excellent,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","require, open",phone,Apple,2020.0,,,,,,,,Tashkent,Williamsborough,
10,Elizabeth Villegas,22,Female,,+1-205-467-4476,South Dianatown,Incorrect email format,2013-02-11 07:12:29,Data science,99,inactive,3.7,average,215.0,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","management, to",laptop,Dell,2016.0,"['onto', 'owner']",4.0,4.0,4.0,3.0,798.0,626.0,,,
10,Elizabeth Villegas,22,Female,,+1-205-467-4476,South Dianatown,Incorrect email format,2013-02-11 07:12:29,Data science,99,inactive,3.7,average,215.0,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","management, to",phone,Xiaomi,2023.0,"['wear', 'will']",1.0,1.0,5.0,1.0,772.0,498.0,,,
11,Shawn Baker,19,Unknown,,+1-986-850-9629,Zhangstad,Incorrect email format,2025-06-10 00:00:00,Data science,100,active,3.7,excellent,183.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",,,,,,,,,,,,Tashkent,North Samantha,100659
12,Unknown,18,Female,71,Unknown,Austinside,Incorrect email format,2013-01-14 19:16:00,Data science,100,inactive,2.0,average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315",,,,,,,,,,,,Tashkent,Morrismouth,100315
13,Unknown,19,Female,90,+1-223-573-6311,Lesliefurt,Incorrect email format,2014-12-24 00:00:00,Data science,100,inactive,4.5,excellent,84.0,2010-11-21 00:00:00,"Frankchester 9-kv, dom 20, Tashkent",,,,,"['medical', 'quality']",5.0,2.0,4.0,4.0,1220.0,1220.0,Tashkent,Frankchester,
14,Thomas Prince,20,Unknown,,Unknown,East Michellestad,aphillips@holland-diaz.org,2012-02-09 00:00:00,Python,100,inactive,,excellent,210.0,2013-05-14 00:00:00,UZ 100394 Tashkent Stevensborough,,,,,,,,,,,,Tashkent,Stevensborough,100394
15,Unknown,21,Male,73,Unknown,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,Python,100,pending,3.7,good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",,,,,"['new', 'manager']",1.0,3.0,1.0,3.0,1140.0,1117.0,Tashkent,Davidborough,
16,Adrian Allen,20,Female,,Unknown,Antoniobury,Incorrect email format,1999-08-29 00:00:00,Python,100,pending,3.7,excellent,53.0,1983-10-13 00:00:00,"1965 Jacobs Branch Apt. 418, Timburgh","partner, race",laptop,Dell,2019.0,,,,,,,,Timburgh,,
16,Adrian Allen,20,Female,,Unknown,Antoniobury,Incorrect email format,1999-08-29 00:00:00,Python,100,pending,3.7,excellent,53.0,1983-10-13 00:00:00,"1965 Jacobs Branch Apt. 418, Timburgh","partner, race",phone,Apple,2022.0,"['beat', 'popular']",1.0,5.0,3.0,0.0,1376.0,871.0,Timburgh,,
17,Stephen Lyons,19,Unknown,76,Unknown,New Adam,Incorrect email format,2009-10-13 02:20:00,Other,100,active,4.5,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"nothing, community",laptop,Lenovo,2023.0,"['must', 'around']",1.0,3.0,2.0,0.0,1453.0,206.0,Tashkent,Joehaven,100399
17,Stephen Lyons,19,Unknown,76,Unknown,New Adam,Incorrect email format,2009-10-13 02:20:00,Other,100,active,4.5,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"nothing, community",phone,Apple,2021.0,"['south', 'his']",3.0,1.0,2.0,1.0,623.0,577.0,Tashkent,Joehaven,100399
18,Zachary Lyons,18,Male,68,+1-242-552-5722,Chenport,Incorrect email format,2003-09-25 00:00:00,Data science,100,inactive,4.5,average,138.0,1997-08-27 00:00:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",,,,,"['thought', 'particularly']",3.0,1.0,3.0,4.0,303.0,1245.0,Tashkent,Port Kevin,100106
19,Unknown,20,Female,50,+1-179-099-6883,West Danaville,Incorrect email format,1974-02-20 00:00:00,Data science,100,active,3.05,excellent,66.0,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,"['either', 'plan']",2.0,1.0,3.0,4.0,1105.0,1106.0,,,
20,Anthony Hardy,20,Male,90,+1-669-272-8730,Kimport,Incorrect email format,1973-05-20 19:05:00,Data science,65,pending,4.5,excellent,218.0,2021-07-23 07:23:13,"Masontown 10-kv, dom 21, Tashkent","certainly, defense",laptop,Lenovo,2018.0,,,,,,,,Tashkent,Masontown,
20,Anthony Hardy,20,Male,90,+1-669-272-8730,Kimport,Incorrect email format,1973-05-20 19:05:00,Data science,65,pending,4.5,excellent,218.0,2021-07-23 07:23:13,"Masontown 10-kv, dom 21, Tashkent","certainly, defense",phone,Apple,2019.0,"['reduce', 'than']",4.0,5.0,3.0,4.0,1291.0,913.0,Tashkent,Masontown,
21,Hector Beltran,20,Male,52,Unknown,North Harry,preid@hotmail.com,2010-02-02 00:00:00,Data science,100,active,,good,153.0,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,
22,Tara Nguyen,22,Unknown,73,+1-038-874-2999,Brittanychester,Incorrect email format,2000-06-04 17:46:54,Python,78,inactive,4.5,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"create, accept",laptop,Dell,2016.0,"['against', 'history']",5.0,3.0,3.0,4.0,1124.0,1323.0,Tashkent,Lake Shaneland,100063
22,Tara Nguyen,22,Unknown,73,+1-038-874-2999,Brittanychester,Incorrect email format,2000-06-04 17:46:54,Python,78,inactive,4.5,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"create, accept",phone,Xiaomi,2018.0,"['rock', 'never']",4.0,2.0,3.0,4.0,1009.0,1369.0,Tashkent,Lake Shaneland,100063
23,Jessica Robinson,22,Male,90,+1-169-715-0937,Jonesfurt,Incorrect email format,2010-05-10 12:48:00,Data science,81,inactive,3.7,good,261.0,2005-06-09 00:00:00,"0451 James Cliffs Suite 725, Wagnermouth",,,,,"['mouth', 'laugh']",5.0,5.0,2.0,4.0,763.0,1393.0,Wagnermouth,,
24,Latoya Williams,18,Male,60,Unknown,North Ashleyborough,Incorrect email format,2021-08-06 11:33:00,Data science,100,pending,3.7,excellent,148.0,2021-11-12 15:59:30,"0258 Sean Keys Apt. 380, Kevinfort","step, section",laptop,Dell,2022.0,,,,,,,,Kevinfort,,
24,Latoya Williams,18,Male,60,Unknown,North Ashleyborough,Incorrect email format,2021-08-06 11:33:00,Data science,100,pending,3.7,excellent,148.0,2021-11-12 15:59:30,"0258 Sean Keys Apt. 380, Kevinfort","step, section",phone,Xiaomi,2019.0,"['generation', 'group']",3.0,5.0,3.0,1.0,219.0,1344.0,Kevinfort,,
25,Unknown,21,Unknown,90,Unknown,Donnaview,Incorrect email format,2025-03-08 00:00:00,Data science,,pending,,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","phone, consider",laptop,Lenovo,2019.0,,,,,,,,North Lisa,,
25,Unknown,21,Unknown,90,Unknown,Donnaview,Incorrect email format,2025-03-08 00:00:00,Data science,,pending,,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","phone, consider",phone,Xiaomi,2020.0,"['write', 'alone']",3.0,2.0,3.0,2.0,1354.0,448.0,North Lisa,,
26,Unknown,21,Female,90,Unknown,Harrisbury,Incorrect email format,2022-07-18 17:43:00,Data science,96,pending,,good,299.0,2001-02-12 00:00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","tough, role",laptop,Dell,2022.0,,,,,,,,Tashkent,Lake Crystal,100119
26,Unknown,21,Female,90,Unknown,Harrisbury,Incorrect email format,2022-07-18 17:43:00,Data science,96,pending,,good,299.0,2001-02-12 00:00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","tough, role",phone,Apple,2019.0,"['begin', 'movement']",3.0,4.0,4.0,5.0,270.0,255.0,Tashkent,Lake Crystal,100119
27,Emily Cummings,22,Female,59,Unknown,East Dariuston,Incorrect email format,2023-04-28 18:06:01,Python,,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","billion, feeling",laptop,Lenovo,2023.0,"['trip', 'toward']",1.0,4.0,2.0,5.0,1364.0,1312.0,Tashkent,South David,100696
27,Emily Cummings,22,Female,59,Unknown,East Dariuston,Incorrect email format,2023-04-28 18:06:01,Python,,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","billion, feeling",phone,Samsung,2023.0,,,,,,,,Tashkent,South David,100696
28,Brandy Powell,20,Unknown,87,+1-404-233-0292,Oconnellburgh,Incorrect email format,2000-07-27 00:00:00,Python,100,inactive,,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","energy, however",laptop,Lenovo,2023.0,"['recent', 'tend']",5.0,4.0,2.0,1.0,1134.0,1304.0,,,
28,Brandy Powell,20,Unknown,87,+1-404-233-0292,Oconnellburgh,Incorrect email format,2000-07-27 00:00:00,Python,100,inactive,,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","energy, however",phone,Samsung,2022.0,,,,,,,,,,
29,Unknown,21,Male,88,+1-521-168-1029,West Rachel,elizabeth49@yahoo.com,2014-09-19 00:00:00,Data science,,inactive,,,295.0,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",,,,,"['enter', 'response']",4.0,2.0,2.0,5.0,778.0,355.0,Bridgetton,,
30,Jaime Rowe,,Female,69,+1-046-892-9598,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,Data science,64,pending,3.7,average,294.0,2022-04-24 08:54:19,"Port Robertstad 16-kv, dom 50, Tashkent","woman, wear",laptop,Lenovo,2024.0,"['tell', 'compare']",1.0,5.0,2.0,3.0,209.0,1191.0,Tashkent,Port Robertstad,
30,Jaime Rowe,,Female,69,+1-046-892-9598,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,Data science,64,pending,3.7,average,294.0,2022-04-24 08:54:19,"Port Robertstad 16-kv, dom 50, Tashkent","woman, wear",phone,Xiaomi,2019.0,"['minute', 'view']",3.0,2.0,5.0,4.0,1127.0,1111.0,Tashkent,Port Robertstad,
31,Brianna Castro,21,Unknown,90,Unknown,East Regina,Incorrect email format,2007-10-13 09:29:00,Data science,100,pending,2.0,average,63.0,1970-09-12 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,"['parent', 'raise']",3.0,1.0,4.0,1.0,709.0,1006.0,,,
32,April Johnson,20,Male,90,+1-054-829-3587,Andersontown,Incorrect email format,2021-11-27 01:13:12,Python,100,active,2.0,good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","material, relate",laptop,Dell,2023.0,,,,,,,,Tashkent,Christineburgh,100686
32,April Johnson,20,Male,90,+1-054-829-3587,Andersontown,Incorrect email format,2021-11-27 01:13:12,Python,100,active,2.0,good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","material, relate",phone,Apple,2018.0,"['these', 'could']",4.0,4.0,3.0,3.0,204.0,506.0,Tashkent,Christineburgh,100686
33,Joyce Franklin,20,Female,60,+1-618-090-5816,South Brittany,Incorrect email format,2000-06-29 21:16:26,Data science,66,inactive,,excellent,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","run, case",laptop,Dell,2022.0,,,,,,,,Tashkent,New Antonio,
33,Joyce Franklin,20,Female,60,+1-618-090-5816,South Brittany,Incorrect email format,2000-06-29 21:16:26,Data science,66,inactive,,excellent,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","run, case",phone,Xiaomi,2020.0,"['hour', 'series']",4.0,5.0,2.0,3.0,543.0,1003.0,Tashkent,New Antonio,
34,Unknown,20,Female,,Unknown,Hillmouth,Incorrect email format,1983-05-24 00:00:00,Data science,67,active,3.7,excellent,172.0,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"decide, least",laptop,HP,2019.0,,,,,,,,Tashkent,West Michaelport,100883
34,Unknown,20,Female,,Unknown,Hillmouth,Incorrect email format,1983-05-24 00:00:00,Data science,67,active,3.7,excellent,172.0,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"decide, least",phone,Samsung,2020.0,"['six', 'reduce']",3.0,5.0,5.0,1.0,581.0,302.0,Tashkent,West Michaelport,100883
35,Unknown,22,Female,,+1-356-552-3035,North Maryfort,Incorrect email format,2008-01-25 20:03:00,Data science,100,pending,2.0,,136.0,1998-08-30 02:53:00,UZ 100652 Tashkent Lake Donaldton,,,,,,,,,,,,Tashkent,Lake Donaldton,100652
36,Unknown,22,Unknown,87,+1-893-021-7782,North Gerald,Incorrect email format,2018-11-11 00:00:00,Python,100,inactive,,average,202.0,2024-12-18 00:00:00,"North Amy 11-kv, dom 49, Tashkent","stay, even",laptop,Dell,2017.0,"['per', 'detail']",4.0,2.0,1.0,1.0,602.0,1380.0,Tashkent,North Amy,
36,Unknown,22,Unknown,87,+1-893-021-7782,North Gerald,Incorrect email format,2018-11-11 00:00:00,Python,100,inactive,,average,202.0,2024-12-18 00:00:00,"North Amy 11-kv, dom 49, Tashkent","stay, even",phone,Apple,2021.0,,,,,,,,Tashkent,North Amy,
37,Jeremy Fry,18,Female,90,+1-773-180-2562,New Kent,mccoyandrew@yahoo.com,2023-08-30 22:57:05,Data science,100,pending,4.5,average,157.0,1971-02-04 00:00:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606",,,,,"['image', 'leg']",5.0,2.0,2.0,5.0,1178.0,1209.0,Tashkent,New Ian,100606
38,Christopher Sosa,20,Male,90,+1-138-648-1737,New Aliceland,Incorrect email format,2022-08-12 00:00:00,Data science,67,active,,excellent,242.0,1970-02-17 19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","art, learn",laptop,Lenovo,2024.0,,,,,,,,Tashkent,Youngton,100192
38,Christopher Sosa,20,Male,90,+1-138-648-1737,New Aliceland,Incorrect email format,2022-08-12 00:00:00,Data science,67,active,,excellent,242.0,1970-02-17 19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","art, learn",phone,Samsung,2020.0,,,,,,,,Tashkent,Youngton,100192
39,David Duke,20,Female,,+1-526-677-6949,Harrishaven,Incorrect email format,2004-09-26 00:00:00,Python,100,active,,excellent,159.0,2022-05-25 01:20:33,UZ 100766 Tashkent Port William,,,,,"['fill', 'growth']",1.0,4.0,2.0,5.0,964.0,1178.0,Tashkent,Port William,100766
40,Sara Page,20,Female,71,Unknown,West William,edgar27@phillips-martin.info,2022-03-26 05:45:17,Python,100,inactive,,,140.0,1993-10-06 00:00:00,"73317 Timothy Port Suite 163, Dicksonbury","imagine, middle",laptop,Lenovo,2020.0,"['enjoy', 'test']",3.0,5.0,2.0,5.0,946.0,741.0,Dicksonbury,,
